QID,LEN,Description or Summary,Start date,End date,Institutions/Partners,Affiliate/Organization,Region,Country,Main focal point,Main Activities,Wikimedia Projects Used,Audience,Level of Education,SDG4 Areas,Subject,Skills addressed,Funding,Evaluation,Case Study,Newsletter articles,Other documentation,Media,Number of pages created,Number of bytes added,Number of participants,Number of Influenced Policies
,WikiAcademy Albania ,Albanian speaking Wikimedians started organizing workshops about Shqiperise Wikipedia in different institutions,2013,,,Wikimedians of Albanian language UG,Eastern Europe,Albania,Greta Doçi, Editing training,Wikipedia,students,Higher Education,Mother language  ,"History,Language","Writing, collaboration, editing",Grants,No,No,No,,https://meta.wikimedia.org/wiki/Grants:IEG/WikiAcademy_Albania,,,,
,Wikipedia Education Project Algeria,Familiarizing students with Wikipedia and exploring ways to use Wikipedia to work with students. ,2012,2018,University of Medea,Algeria Wikimedians UG,Northern Africa,Algeria,Fareh Abdelhak,Editing training,Wikipedia,students,Higher Education,Mother language  ,"History,Language,Culture","Writing, collaboration, editing",,No,No,No,,https://commons.wikimedia.org/wiki/Category:Wikipedia_Education_Program_Algeria,,,,
,Wikipedia en tu universidad,"3 training sessions (3 days of work) for university students and professors. Intensive session about Wikimedia and its projects, later detail about the edition of content in Wikipedia. Particular interest: creation of projects that can support the research done by the classes that get involved with our program. Aim: encouraging professors and students to use the Wikipedia platform as another space to consolidate debates and content within the academic world.",2015,"We organized it on demand, we launch at the beginning of the year an open call for universities that are interested in implementing this specific project and we define the period of implementation with them. We have bee working with around 15 universities per year. ",Various public and private universities in the country ,Wikimedia Argentina,South America,Argentina,"Luisina Ferrante, Florencia Guastavino",Editing training,Wikipedia,students,Higher Education,Mother language  ,,"Training, editing, language, research",WMF APG,,No,"https://outreach.wikimedia.org/wiki/Education/Newsletter/February_2017/Wikilesa:_Working_with_university_students_on_human_rights
https://outreach.wikimedia.org/wiki/Education/Newsletter/December_2015/Wikimedia_Argentina,_about_the_global_and_local_in_the_digital_and_academic_communities",,http://wikimedia.org.ar/programadeeducacion/otras/wikipedia_universidad.html,,,,
,"Online course: “Bridges for a free, digital, school culture""","Two online training courses for educators, of a 5-week duration each, to address the use of Wikipedia in the classroom and encourage the educators’ ability to edit in the classroom and in their educational projects. Aimed at educators and university students with the objective of generating exchange on the use of the Wikimedia projects in the school syllabus. ",2015,,we partner specifically for the communication and dissemination of the course. In particular with public educational portals and also with public universities that help us to spread this proposal.,Wikimedia Argentina,South America,Argentina,"Luisina Ferrante, Florencia Guastavino",Editing training,Wikipedia,"Students, Teachers",Higher Education,Mother language  ,,"Training, Editing",WMF APG,,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/June_2016/A_New_Online_Course_in_a_New_Virtual_Campus,,http://wikimedia.org.ar/programadeeducacion/otras/curso.html,,,,
,Editing Clubs with high school students,"Training sessions for educators that provide tools to tackle the work with Wikipedia inside the classroom, the search for information and analysis of sources to support the articles. Closing activity: Editing Club for students, generating a space where they can put into practice what they have learnt during the training sessions.",2017,we define with each institution and partner the period of time for the developing of the project. We organize at least 10 editing clubs per year all over the country.,Partnerships with local instances of the Ministry of Education,Wikimedia Argentina,South America,Argentina,"Luisina Ferrante, Florencia Guastavino",Editing training,Wikipedia,"Teachers, students",Secondary ,Mother language  ,,"Editing, digital literacy",WMF APG,,No,,,"http://wikimedia.org.ar/clubesdeedicion/, http://www.elindependiente.com.ar/pagina.php?id=138449",,,,
,Wikilesa and WikiDDHH,"Edition and production of content related to Crimes against Humanity perpetrated during the period of State terrorism in Argentina in the 1970s and 1980s. Carried out in collaboration with ""Cosecha Roja"", with the aim of updating and consolidating the existing Wikipedia content on the process of Justice and the role of Human Rights organizations in our country. ",2017,Its also a project that we offer during all the year and we try to expand it in different regions of our country.,"We have different partners. mostly human rights organisms, NGO, National Universities and public research centers relates with Human Rights topics.",Wikimedia Argentina,South America,Argentina,"Luisina Ferrante, Florencia Guastavino",Editing training,Wikipedia,Students,Higher Education,"Mother language, human rights",History,"Writing, research, collaboration, information literacy",WMF APG,,No,,https://outreach.wikimedia.org/wiki/Education/Countries/Argentina/Proyecto_WikiDDHH_2018,http://derechoshumanos.wikimedia.org.ar/,,,,
,WikiCamp Armenia ,Young Wikimedians within the age 14-20 gather together to write and contribute on Wikimedia projects.,2014,,,Wikimedia Armenia,Western Asia,Armenia,Lilit Tarkhanyan,WikiCamp,Wikipedia,Students,"Secondary, Higher Education",Mother language ,"Culture, language, history","Writing, editing, collaboration, digital literacy",WMF grant,https://outreach.wikimedia.org/wiki/Education/Countries/Armenia/Statistics,No,"https://outreach.wikimedia.org/wiki/Education/Newsletter/June_2014/Getting_ready_for_WikiCamp_2014_Armenia 
https://outreach.wikimedia.org/wiki/Education/Newsletter/June_2015/Wikimedia_Armenia_New_Office,_Annual_Conference,_and_WikiCamp_2015
https://outreach.wikimedia.org/wiki/Education/Newsletter/April_2017/Western_Armenian_WikiCamper_promotes_Wikiprojects_in_his_school",,https://blog.wikimedia.org/2015/02/27/wikicamps-young-armenians-wikipedia/,,,,
,Free knowledge outreach in Austria,The focus of this program is to convey the role of free knowledge for individuals and society. To enhance the media literacy concerning Wikimedia projects and free knowledge in educational institutions by providing skill transfer and trainings.,2014,2015,"Akademisches Gymnasium Graz, Wiedner Gymnasium, HBLA für Fortwirtschaft Bruck an der Mur, Neue Mittelschule Sitzendorf, among others",Wikimedia Österreich,Western Europe,Austria,Claudia Garád,Editing training,Wikipedia,"Students, teachers, librarians ","Higher Education,Vocational",Mother language,Media literacy,"Writing, editing, media literacy",,No,No,No,https://outreach.wikimedia.org/wiki/Education/Countries/Austria,,,,,
,Wikipedia trainings in Azerbaijan,"The aim of the project is to promote Wikipedia as a movement in Azerbaijan and bring in more users, contributors and editor",2015,,Azerbaijan Youth Translators Association,Azerbaijani Wikimedians UG,Western Asia,Azerbaijan,Ismayil Jabrayilov,Editing training,Wikipedia,"Students, Teachers",,,"Culture, language, history","Writing, editing, language",Ministry of Communication,No,No,No,https://outreach.wikimedia.org/wiki/Education/Countries/Azerbaijan,,,,,
,Bangladeshi Wikipedia Awareness Program,Drive awareness about Wikipedia and allow students to develop the tools to effectively use them,2015,,,Wikimedia Bangladesh,Southeast Asia,Bangladesh,Nahid Sultan,Editing training,Wikipedia,Students,"Secondary, Higher Education",Mother language  ,"Culture, language, history","Research, editing, knowledge access, language",WMF Grant,https://meta.wikimedia.org/wiki/Grants:PEG/TMorshed/Bangla_Wikipedia_10th_anniversary,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/December_2015/Wikimedia_Bangladesh%27s_new_secondary_school_education_program_aims_to_increase_Bangla_Wikipedia_readers,,https://blog.wikimedia.org/2015/10/01/bangla-wikipedia-student-awareness/,,,,
